title,vacancy_type,work_experience,salary,currency,region,salary_min,salary_max,exp_min,exp_max,salary_mean,exp_mean,country
Senior Python Developer,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Преподаватель по IT,other,1–3 года,от 250 000 до 400 000 KZT до вычета налогов,KZT,Астана,250000,400000,1,3,325000,2,Казахстан
Senior Python Developer,SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior Python разработчик (back-end),SE,более 6 лет,от 1 500 000 KZT до вычета налогов,KZT,Нур-Султан (Астана),0,1500000,6,6,1125000,6,Казахстан
Django-разработчик на поддержку проекта,SE,1–3 года,от 100 000 до 300 000 KZT на руки,KZT,Астана,100000,300000,1,3,200000,2,Казахстан
Python Backend Разработчик,SE,3–6 лет,от 400 000 до 800 000 KZT на руки,KZT,Астана,400000,800000,3,6,600000,5,Казахстан
Инженер-программист,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Team Lead Backend-разработки/разработчик python/Go,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Разработчик/Data Scientist (Big Data),DS,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Django-разработчик,SE,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Development Team Lead (Cyprus),other,более 6 лет,от 6 000 до 7 000 EUR на руки,EUR,Астана,6000,7000,6,6,6500,6,Казахстан
Backend Node.js разрабочик со знанием python,other,более 6 лет,от 200 000 до 500 000 руб. на руки,RUB,Астана,200000,500000,6,6,350000,6,Казахстан
Plotly Dash Developer,SE,1–3 года,от 2 000 до 5 000 USD до вычета налогов,USD,Астана,2000,5000,1,3,3500,2,Казахстан
Frontend-разработчик,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Data Scientist (Словения, удаленно)",DS,3–6 лет,от 2 500 до 3 000 USD на руки,USD,Астана,2500,3000,3,6,2750,5,Казахстан
Senior Python Developer,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Python разработчик,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Middle Backend developer (NestJS),SE,1–3 года,от 400 000 до 700 000 KZT на руки,KZT,Алматы,400000,700000,1,3,550000,2,Казахстан
QA Intern - Automation testing,other,не требуется,з/п не указана,,Алматы,0,0,0,0,0,0,Казахстан
C (embedded Linux) developer (Удаленно),SE,1–3 года,з/п не указана,,Костанай,0,0,1,3,0,2,Казахстан
QA Engineer,other,3–6 лет,от 400 000 до 700 000 KZT до вычета налогов,KZT,Алматы,400000,700000,3,6,550000,5,Казахстан
QA Intern - Automation testing,other,не требуется,з/п не указана,,Астана,0,0,0,0,0,0,Казахстан
Senior Go Developer,SE,3–6 лет,до 1 300 000 KZT на руки,KZT,Алматы,0,1300000,3,6,975000,5,Казахстан
Программист,other,3–6 лет,з/п не указана,,Уральск,0,0,3,6,0,5,Казахстан
"IT Интерн (PL/SQL, бизнес-аналитик)",DA,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Deep Learning and Computer Vision Engineer,DL,3–6 лет,з/п не указана,,Аксай,0,0,3,6,0,5,Россия
Разработчик RPA на Blue Prism,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
DevOps инженер (Dev Ops),SE,более 6 лет,от 2 000 до 4 000 USD на руки,USD,Алматы,2000,4000,6,6,3000,6,Казахстан
Программист по обеспечению качества ПО,other,1–3 года,от 300 000 до 550 000 KZT на руки,KZT,Алматы,300000,550000,1,3,425000,2,Казахстан
Тестировщик QA manual,other,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior RPA developer,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior QA Automation Engineer (Python/Swift),other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior Backend developer,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Преподаватель в школу программирования,other,1–3 года,з/п не указана,,Семей,0,0,1,3,0,2,Казахстан
PHP-разработчик,SE,1–3 года,от 300 000 KZT на руки,KZT,Алматы,0,300000,1,3,262500,2,Казахстан
React Native/React developer with Python,SE,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
DevOps Middle Engineer,other,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Senior QA Engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Principal Programmer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior C++ Developer (Gameplay),SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Programming Team Lead (С++),other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
DevOps Senior Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Старший инженер по администрированию цифровых платформ,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Middle/Senior Android Developer в Feature team,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Solutions Architect,other,3–6 лет,от 3 000 до 6 000 USD до вычета налогов,USD,Астана,3000,6000,3,6,4500,5,Казахстан
React Native/React developer,SE,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Executive Technical Director,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Technical Director,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
QA engineer,other,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
"Senior Full-stack Developer (to Cyprus, Armenia)",SE,3–6 лет,от 5 000 EUR на руки,EUR,Лимасол,0,5000,3,6,3750,5,Кипр
"Middle+/Senior DevOps Engineer, Communication Services",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
"Middle+/Senior DevOps Engineer, Communication Services",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Lead Observability Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Караганда,0,0,3,6,0,5,Казахстан
BI Engineer (Tableau),other,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
"Migration Software Development and Support Engineer, Communication Services",SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Platform Engineer (PaaS team),other,3–6 лет,от 5 000 EUR на руки,EUR,Астана,0,5000,3,6,4000,5,Казахстан
Development Team Lead (Cyprus),other,более 6 лет,от 6 000 до 7 000 EUR на руки,EUR,Караганда,6000,7000,6,6,6500,6,Казахстан
Development Team Lead (Cyprus),other,более 6 лет,от 6 000 до 7 000 EUR на руки,EUR,Алматы,6000,7000,6,6,6500,6,Казахстан
"Scala Developer, Smart Platform",SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Ведущий разработчик Департамента развития и поддержки информационных систем,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
"Scala Developer, Smart Platform",SE,3–6 лет,з/п не указана,,Караганда,0,0,3,6,0,5,Казахстан
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),SE,3–6 лет,з/п не указана,,Караганда,0,0,3,6,0,5,Казахстан
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),SE,3–6 лет,з/п не указана,,Аксай,0,0,3,6,0,5,Россия
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
DevOps Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Системный архитектор,other,3–6 лет,з/п не указана,,Нур-Султан (Астана),0,0,3,6,0,5,Казахстан
Senior Linux engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Инженер-программист,SE,1–3 года,от 300 000 до 300 000 KZT до вычета налогов,KZT,Алматы,300000,300000,1,3,300000,2,Казахстан
Бэк-енд разработчик,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
SRE-инженер,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Growth and Marketing Analyst,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Migration Software Development and Support Engineer, Communication Services",SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Разработчик бэкенда в Путешествия,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Программист,other,1–3 года,з/п не указана,,Щучинск,0,0,1,3,0,2,Казахстан
Middle/Senior QA Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Data Engineer,other,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Middle/Senior QA Engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Tableau BI Developer,SE,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Solutions Architect,other,3–6 лет,от 3 000 до 6 000 USD до вычета налогов,USD,Алматы,3000,6000,3,6,4500,5,Казахстан
QA-инженер,SE,1–3 года,от 400 000 до 700 000 KZT на руки,KZT,Алматы,400000,700000,1,3,550000,2,Казахстан
Big Data Engineer,BD,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Lead DevOps Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Financial Analyst,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Senior PHP Developer (to Cyprus),SE,3–6 лет,от 4 500 EUR на руки,EUR,Лимассол,0,4500,3,6,3375,5,Кипр
Главный разработчик,SE,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Senior HPC Engineer,other,более 6 лет,з/п не указана,,Астана,0,0,6,6,0,6,Казахстан
Fullstack developer,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Senior QA Engineer (Automation, Python) to Cyprus, Armenia",other,3–6 лет,от 4 500 EUR на руки,EUR,Лимасол,0,4500,3,6,3375,5,Кипр
DevOps Engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
DevOps Engineer в SuperApp,other,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior Golang Developer,SE,3–6 лет,от 5 000 EUR на руки,EUR,Астана,0,5000,3,6,4000,5,Казахстан
Разработчик GO Вертикали,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Software Development Team Leader (Cross-Functional Team to Cyprus, Armenia)",SE,более 6 лет,от 6 000 EUR на руки,EUR,Лимасол,0,6000,6,6,4500,6,Кипр
Android-разработчик в Вертикали,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Middle IOS Developer (Simply),SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
"Business Data Analyst, Investment Management Solution",DA,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Senior Business System Analyst (to Cyprus, Armenia)",other,3–6 лет,от 4 500 EUR на руки,EUR,Лимасол,0,4500,3,6,3375,5,Кипр
"Business Data Analyst, Investment Management Solution",DA,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Business Process Development Analyst (S&OP / IBP),other,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Главный менеджер Управления развития Colvir Департамента Информационных Технологий,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Программист 1С,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Data analyst,DA,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Data Integration Engineer,other,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
"Middle C++ Engineer, Wireless Solutions",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Middle C++ Engineer, Wireless Solutions",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Data Integration Engineer,other,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior/Middle Java разработчик,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Data Engineer (Senior),other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Business System Analyst (CRM), Investment Management Solutions",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Business System Analyst (CRM), Investment Management Solutions",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Middle Full-Stack Developer,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior Android Developer в Platform team,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Lead QA Automation Engineer (Blockchain DeFi),other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
BI Engineer with Tableau,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
BI Engineer with Tableau,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Ведущий менеджер Управления развития Colvir Департамента Информационных Технологий,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Data Scientist (Риски),DS,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Web Developer,SE,3–6 лет,от 350 000 до 900 000 KZT до вычета налогов,KZT,Алматы,350000,900000,3,6,625000,5,Казахстан
ETL разработчик,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Full-Stack Developer (Technology Consulting),SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
DevOps engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"BI Consultant, Accounting Advisory Services, Consulting",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Site Reliability Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Site Reliability Engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"QA Engineer, Communication Services",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
"QA Engineer, Communication Services",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Senior DevOps Engineer, Communication Services",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Frontend Developer - (Slovenia),SE,3–6 лет,з/п не указана,,Любляна,0,0,3,6,0,5,Словения
DevOps Engineer (Remote),other,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
PHP-разработчик,SE,3–6 лет,от 250 000 до 300 000 KZT до вычета налогов,KZT,Павлодар,250000,300000,3,6,275000,5,Казахстан
DevOps Engineer,other,1–3 года,от 2 000 до 3 500 USD на руки,USD,Алматы,2000,3500,1,3,2750,2,Казахстан
Unix Administrator,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Разработчик RPA,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Разработчик backend (С++),SE,1–3 года,з/п не указана,,Нур-Султан (Астана),0,0,1,3,0,2,Казахстан
Программист,other,не требуется,от 183 000 KZT на руки,KZT,Караганда,0,183000,0,0,137250,0,Казахстан
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Senior QA Automation (Python) Engineer / SDET,other,не требуется,з/п не указана,,Астана,0,0,0,0,0,0,Казахстан
Senior QA Automation Engineer / SDET,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"DevOps Engineer (AWS, Kubernetes, Financial Analytics System)",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"DevOps Engineer (AWS, Kubernetes, Financial Analytics System)",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Data analyst (CV),DA,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Fullstack Developer с навыками DevOps,SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Backend developer - (Slovenia),SE,3–6 лет,з/п не указана,,Любляна,0,0,3,6,0,5,Словения
"DevOps with GCP, Telemedicine Technology Solutions",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
"DevOps with GCP, Telemedicine Technology Solutions",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Senior Full-Stack Developer / Middle Full-Stack Developer (LUA/JS/PHP/HTML/CSS),SE,1–3 года,от 900 000 до 1 200 000 KZT до вычета налогов,KZT,Нур-Султан (Астана),900000,1200000,1,3,1050000,2,Казахстан
Senior Embedded Developer / Middle Embedded Developer (C/C++/LUA),SE,3–6 лет,от 800 000 до 1 350 000 KZT до вычета налогов,KZT,Нур-Султан (Астана),800000,1350000,3,6,1075000,5,Казахстан
Information & Analytics Engineer,other,3–6 лет,з/п не указана,,Атырау,0,0,3,6,0,5,Казахстан
Middle Web QA Engineer,WB,1–3 года,от 850 000 до 1 150 000 KZT на руки,KZT,Алматы,850000,1150000,1,3,1000000,2,Казахстан
Frontend Developer (Angular),SE,3–6 лет,от 220 000 до 250 000 руб. на руки,RUB,Алматы,220000,250000,3,6,235000,5,Казахстан
Backend-разработчик,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Senior Web QA,WB,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Scala Developer, Smart Platform",SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
"Senior Data Engineer, Media Conglomerate",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Middle Data Engineer, Media Conglomerate",other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
"Middle Data Engineer, Media Conglomerate",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Middle Data Engineer, Media Conglomerate",other,3–6 лет,з/п не указана,,Караганда,0,0,3,6,0,5,Казахстан
"Junior / Senior Consultant, Data Scientist, Technology Group",DS,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Database Administrator - Almaty/Nur-Sultan,other,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Full-stack разработчик,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Software/Data Engineer with C++,other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Security Researcher (GReAT),other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Программист 1С,other,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Full-Stack Developer в департамент цифровой трансформации,SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Fullstack разработчик,SE,3–6 лет,от 500 000 KZT на руки,KZT,Караганда,0,500000,3,6,375000,5,Казахстан
Senior Back end Java developer (teamlead),SE,3–6 лет,от 1 500 000 KZT на руки,KZT,Астана,0,1500000,3,6,1125000,5,Казахстан
Android разработчик,SE,1–3 года,от 800 000 до 1 200 000 KZT на руки,KZT,Астана,800000,1200000,1,3,1000000,2,Казахстан
Преподаватель по программированию,other,не требуется,з/п не указана,,Нур-Султан (Астана),0,0,0,0,0,0,Казахстан
Учитель в школу программирования,other,1–3 года,от 150 000 до 250 000 KZT на руки,KZT,Алматы,150000,250000,1,3,200000,2,Казахстан
Программист\разработчик javascript backend,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Front end / Full stack разработчик сайтов в Digital Agency,SE,1–3 года,от 150 000 до 300 000 KZT до вычета налогов,KZT,Алматы,150000,300000,1,3,225000,2,Казахстан
Web-программист,WB,1–3 года,от 400 000 до 400 000 KZT на руки,KZT,Алматы,400000,400000,1,3,400000,2,Казахстан
Fullstack developer,SE,1–3 года,от 100 000 KZT до вычета налогов,KZT,Алматы,0,100000,1,3,75000,2,Казахстан
PHP-программист,WB,1–3 года,от 350 000 до 450 000 KZT на руки,KZT,Алматы,350000,450000,1,3,400000,2,Казахстан
Разработчик BI-инструментов,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior QA Engineer / Middle QA Engineer,other,3–6 лет,от 600 000 KZT на руки,KZT,Нур-Султан (Астана),0,600000,3,6,450000,5,Казахстан
Партнер Software Developer,SE,3–6 лет,от 500 000 до 1 500 000 KZT до вычета налогов,KZT,Павлодар,500000,1500000,3,6,1000000,5,Казахстан
Senior Python Developer,SE,3–6 лет,от 6 000 USD на руки,USD,Баку,0,6000,3,6,4500,5,Азербайджан
Python + Go Developer (удаленно),SE,1–3 года,от 160 000 руб. на руки,RUB,Баку,0,160000,1,3,120000,2,Азербайджан
Backend разработчик со знанием Python,SE,3–6 лет,от 2 500 до 3 000 USD на руки,USD,Баку,2500,3000,3,6,2750,5,Азербайджан
Senior Python developer,SE,3–6 лет,з/п не указана,,Баку,0,0,3,6,0,5,Азербайджан
QA Intern - Automation testing,other,не требуется,з/п не указана,,Баку,0,0,0,0,0,0,Азербайджан
Python (Django) Developer,SE,3–6 лет,з/п не указана,,Баку,0,0,3,6,0,5,Азербайджан
Python Developer,SE,3–6 лет,з/п не указана,,Баку,0,0,3,6,0,5,Азербайджан
Technical Architect Node.Js,other,3–6 лет,з/п не указана,,Гянджа,0,0,3,6,0,5,Азербайджан
Lead Observability Engineer,other,3–6 лет,з/п не указана,,Баку,0,0,3,6,0,5,Азербайджан
Full-Stack Developer,SE,более 6 лет,от 6 000 USD на руки,USD,Баку,0,6000,6,6,4500,6,Азербайджан
